PLAYER_NAME,AVG_APPROACH_BIRDIE_OR_BETTER,AVG_APPROACH_BOGEY_OR_WORSE,AVG_APPROACH_PAR,AVG_APPROACH_SHOT_DISTANCE,FAIRWAY_APPROACH_RTP,GIR_PCT_FAIRWAY_BUNKER,GIR_PCT_FAIRWAY,GIR_PCT_OTHER,GIR_PCT_OVERALL,GIR_PCT_100-125,GIR_PCT_OVER_100,GIR_PCT_125-150,GIR_PCT_150-175,GIR_PCT_175-200,GIR_PCT_OVER_200,GIR_PCT_75-100,GIR_PCT_UNDER_100,GIR_PCT_UNDER_125,GIR_PCT_UNDER_75,GREEN_PCT_SAND_SAVES,GREEN_PCT_SCRAMBLE,GREEN_PCT_SCRAMBLE_FRINGE,GREEN_PCT_SCRAMBLE_ROUGH,GREEN_PCT_SCRAMBLE_SAND,FINISHES_FEDEXCUP_BONUS,FINISHES_OFFICIAL_MONEY,FINISHES_TOP10,FINISHES_OFFICIAL_UNOFFICIAL_MONEY,TEE_AVG_APEX,TEE_AVG_BALL_SPEED,TEE_BALL_STRIKING,TEE_AVG_CARRY,TEE_LONGEST_CARRY_DISTANCE,TEE_AVG_CARRY_EFF,TEE_AVG_CLUB_HEAD_SPEED,TEE_AVG_DISTANCE_FROM_CENTER_FR,TEE_DRIVING_ACCURACY_PCT,TEE_AVG_DRIVING_DISTANCE,TEE_AVG_FAIRWAY_BUNKER_TENDENCY_PCT,TEE_AVG_FIR_PCT,TEE_AVG_LAUNCH_ANGLE,TEE_AVG_LEFT_ROUGH_TENDENCY_PCT,TEE_LONGEST_DRIVES,TEE_AVG_RIGHT_ROUGH_TENDENCY_PCT,TEE_AVG_SMASH_FACTOR,TEE_AVG_SPIN_RATE,PUTTING_AVG_ONE_PUTTS,PUTTING_AVG_TWO_PUTTS,PUTTING_AVG_THREE_PUTTS,PUTTING_APPROACH_PERFORMANCE,PUTTING_AVG_DIST_BIRDIE,PUTTING_AVG_DIST_EAGLE,PUTTING_AVG_DIST_MADE,PUTTING_PCT_BIRDIE_OR_BETTER,PUTTING_AVG_OVERALL,PUTTING_AVG_PUTTS,SCORING_AVG_BIRDIES,SCORING_PCT_BIRDIE_OR_BETTER,SCORING_BIRDIE_BOGEY_RATIO,SCORING_BOGEY_AVERAGE,SCORING_EAGLES_PER_HOLE,SCORING_PAR3_AVERAGE,SCORING_PAR4_AVERAGE,SCORING_PAR5_AVERAGE,SCORING_ROUNDS_IN_60S,SCORING_AVG_OVERALL,SCORING_TOTAL_BIRDIES,SCORING_TOTAL_EAGLES,STREAKS_CUTS_MADE,STREAKS_FIRS_MADE,STREAKS_GIRS_MADE,STREAKS_HOLES_UNDER_PAR
Cameron Davis,175.8,165.9,160.3,165.0,-0.152,41.7,82.18,53.59,69.25,71.13,64.86,68.21,70.81,59.32,50.51,80.85,87.7,82.04,90.0,56.99,61.06,90.91,54.47,62.3,110000.0,857225,2.0,"$857,225","123' 2""",178.24,75.0,298.2,337.0,2.52,118.35,"25' 3""",58.82,308.0,5.7,59.81,10.81,11.77,378.0,18.21,1.506,2674.6,7.09,9.72,,"2' 7""","9' 3""","26' 0""","79' 3""",32.55,1.618,29.12,4.14,24.04,1.52,2.5,11.0,3.04,4.0,4.55,29.0,70.639,240.0,11.0,4.0,3.0,4.0,4.0
Sam Ryder,175.9,163.7,163.5,166.4,-0.092,52.2,78.83,51.05,66.35,75.93,61.73,71.43,64.05,50.94,44.74,82.81,85.99,82.54,87.41,42.39,60.85,91.43,57.72,45.45,101000.0,690246,2.0,"$690,246","101' 9""",172.19,183.0,281.7,312.3,2.401,117.34,"24' 2""",61.22,297.7,5.9,62.14,8.65,12.27,368.0,15.76,1.4680000000000002,2788.2,7.13,10.06,,"2' 5""","9' 1""","9' 2""","72' 10""",31.5,1.599,28.79,3.93,22.14,1.42,2.47,4.0,3.01,4.01,4.68,27.0,71.09100000000002,275.0,4.0,,0.0,0.0,4.0
Zach Johnson,175.9,168.6,162.6,166.2,-0.102,39.5,78.36,53.46,68.03,82.08,64.6,69.1,72.56,55.61,44.85,93.18,88.73,85.89,86.73,50.56,62.11,89.66,61.4,54.05,101000.0,777727,1.0,"$777,727","101' 10""",163.94,223.0,270.9,315.6,2.466,109.89,"22' 11""",62.76,285.9,5.7,63.4,11.9,17.11,352.0,11.67,1.493,2467.2,7.2,10.23,0.02,"2' 0""","10' 1""","14' 7""","74' 6""",29.99,1.6,28.8,3.77,21.04,1.54,2.05,1.0,3.03,3.99,4.68,33.0,70.388,230.0,1.0,2.0,7.0,1.0,6.0
Wes Roach,176.0,166.2,159.6,163.8,-0.037000000000000005,38.1,78.86,53.11,67.92,72.86,64.13,68.06,65.79,56.9,52.83,86.67,91.8,81.68,93.48,38.98,58.01,87.5,60.38,43.18,,267966,2.0,"$267,966","107' 3""",165.49,200.0,272.4,310.6,2.4530000000000003,111.05,"22' 10""",62.61,290.5,6.8,63.84,12.1,14.66,369.0,11.4,1.501,2544.0,6.83,10.1,,"2' 3""","11' 1""",,"71' 9""",30.18,1.631,29.35,3.73,21.81,1.3,2.65,8.0,3.06,4.05,4.59,18.0,71.602,149.0,8.0,,1.0,10.0,4.0
Hank Lebioda,176.0,162.2,162.7,165.3,-0.07400000000000001,45.9,76.94,54.43,67.68,72.83,64.39,70.0,62.29,66.1,48.84,69.05,82.44,78.48,88.76,49.45,55.94,80.77,56.69,48.48,70000.0,436840,1.0,"$436,840","96' 3""",169.63,210.0,277.9,312.8,2.474,112.32,"23' 11""",60.34,294.7,6.4,58.89,9.51,14.63,360.0,17.07,1.511,2528.3,6.69,10.38,0.02,"2' 5""","10' 0""","34' 2""","72' 8""",29.28,1.6469999999999998,29.65,3.6,20.81,1.19,2.84,8.0,3.03,4.06,4.66,20.0,71.578,198.0,8.0,,1.0,1.0,5.0
Shane Lowry,176.4,158.2,164.1,165.8,-0.103,65.4,80.43,53.14,69.44,82.89,66.79,78.38,62.5,58.47,55.13,86.67,83.93,83.51,82.93,61.54,62.4,80.0,54.29,62.79,101000.0,781326,1.0,"$781,326","98' 5""",172.74,91.0,282.9,334.6,2.465,114.76,"22' 9""",60.95,299.4,5.2,61.75,9.7,21.12,417.0,9.36,1.505,2317.0,6.64,10.36,,"2' 3""","9' 0""","5' 3""","67' 2""",28.42,1.653,29.75,3.66,20.71,1.37,2.36,3.0,3.09,4.01,4.56,23.0,70.265,161.0,3.0,,3.0,1.0,3.0
Webb Simpson,176.4,165.5,165.6,168.5,-0.205,53.6,80.61,52.94,70.83,77.39,67.86,75.31,69.74,59.63,56.67,75.68,89.03,84.07,93.22,56.34,64.47,89.66,61.76,58.33,682500.0,5097742,8.0,"$5,212,742","110' 1""",167.49,25.0,280.9,324.8,2.528,111.12,"23' 2""",67.31,296.2,3.9,67.42,11.82,12.78,374.0,11.94,1.508,2661.0,7.69,9.83,,"2' 1""","9' 10""","18' 4""","80' 9""",36.31,1.571,28.27,4.67,26.5,2.36,1.79,5.0,2.97,3.89,4.52,36.0,68.97800000000001,243.0,5.0,5.0,0.0,1.0,4.0
Ryan Palmer,176.5,164.7,164.1,167.0,-0.096,55.0,75.35,53.42,65.93,75.45,60.68,71.56,53.95,57.67,45.67,72.73,83.08,80.39,86.99,50.0,59.95,87.5,55.91,54.43,445333.0,2724926,5.0,"$2,872,676","106' 2""",171.42,198.0,284.7,327.0,2.486,114.54,"23' 7""",60.08,299.3,7.2,59.71,11.11,12.55,388.0,15.68,1.497,2464.5,7.37,9.85,,"2' 3""","8' 9""","21' 8""","69' 9""",32.71,1.587,28.57,3.99,22.71,1.42,2.63,7.0,3.07,4.02,4.53,33.0,70.196,271.0,7.0,6.0,0.0,2.0,4.0
Matthew NeSmith,176.5,161.3,164.8,166.6,-0.08199999999999999,53.6,81.8,54.84,70.18,73.47,65.59,72.97,67.52,63.16,46.49,78.57,88.61,82.81,92.24,49.48,60.0,75.56,51.2,54.55,105000.0,783232,1.0,"$783,232","100' 1""",170.87,81.0,281.9,325.7,2.467,114.26,"24' 9""",64.14,295.0,7.5,63.15,9.61,12.68,369.0,13.35,1.495,2491.1,6.74,10.63,,"2' 2""","9' 8""","22' 10""","72' 11""",29.16,1.629,29.32,3.72,21.32,1.52,2.24,8.0,3.0,4.0,4.62,30.0,70.575,253.0,8.0,,1.0,0.0,5.0
Keith Mitchell,176.6,161.3,159.8,163.8,-0.079,48.8,78.54,47.99,65.02,64.52,59.26,63.76,59.24,58.99,47.75,76.67,86.89,78.48,91.1,48.04,53.1,82.61,52.76,47.46,101000.0,886979,1.0,"$886,979","107' 1""",178.32,222.0,291.0,326.5,2.432,119.65,"26' 0""",58.32,301.9,6.1,59.49,10.41,17.4,383.0,11.27,1.491,2554.0,7.22,9.84,0.02,"2' 5""","9' 8""","5' 9""","78' 11""",31.59,1.61,28.98,3.78,21.53,1.11,2.98,6.0,3.13,4.05,4.68,23.0,71.298,242.0,6.0,,2.0,1.0,3.0
